Committee,Code
Subcommittee on Tactical Air and Land Forces (Committee on Armed Services),AS25
Subcommittee on Oversight and Investigations (Committee on Armed Services),AS06
Subcommittee on Readiness (Committee on Armed Services),AS03
Subcommittee on Military Personnel (Committee on Armed Services),AS02
Committee on Armed Services,AS00
Subcommittee on Legislative Branch (Committee on Appropriations),AP24
Subcommittee on Financial Services and General Government (Committee on Appropriations),AP23
"Subcommittee on Transportation, and Housing and Urban Development, and Related Agencies (Committee on Appropriations)",AP20
"Subcommittee on Commerce, Justice, Science, and Related Agencies (Committee on Appropriations)",AP19
"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies (Committee on Appropriations)",AP18
Subcommittee on Homeland Security (Committee on Appropriations),AP15
"Subcommittee on Energy and Water Development, and Related Agencies (Committee on Appropriations)",AP10
"Subcommittee on Labor, Health and Human Services, Education, and Related Agencies (Committee on Appropriations)",AP07
"Subcommittee on Interior, Environment, and Related Agencies (Committee on Appropriations)",AP06
"Subcommittee on State, Foreign Operations, and Related Programs (Committee on Appropriations)",AP04
Subcommittee on Defense (Committee on Appropriations),AP02
"Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies (Committee on Appropriations)",AP01
Committee on Appropriations,AP00
"Subcommittee on Livestock, Rural Development, and Credit (Committee on Agriculture)",AG29
"Subcommittee on Department Operations, Oversight, and Nutrition (Committee on Agriculture)",AG22
Subcommittee on General Farm Commodities and Risk Management (Committee on Agriculture),AG16
"Subcommittee on Conservation, Energy, and Forestry (Committee on Agriculture)",AG15
"Subcommittee on Horticulture, Research, Biotechnology, and Foreign Agriculture (Committee on Agriculture)",AG14
Committee on Agriculture,AG00
Permanent Select Committee on Intelligence,IG00
"Subcommittee on Terrorism, Human Intelligence, Analysis, and Counterintelligence (Permanent Select Committee on Intelligence)",IG08
Subcommittee on Technical and Tactical Intelligence (Permanent Select Committee on Intelligence),IG05
Subcommittee on Oversight and Investigations (Permanent Select Committee on Intelligence),IG09
