Committee,Code,Scheduling Conflicts,Committee Members (Count)
Committee on Natural Resources,II00,2471,47
Committee on Foreign Affairs,FA00,2063,47
Committee on Oversight and Government Reform,GO00,1945,41
Committee on Energy and Commerce,IF00,1923,55
Committee on the Judiciary,JU00,1898,40
Committee on Transportation and Infrastructure,PW00,1505,61
Committee on Appropriations,AP00,1339,52
Committee on Armed Services,AS00,1267,63
"Committee on Science, Space, and Technology",SY00,1211,41
Committee on Education and the Workforce,ED00,978,42
Committee on Homeland Security,HM00,802,31
Committee on Veterans Affairs,VR00,723,26
Committee on Financial Services,BA00,600,62
Committee on Agriculture,AG00,533,47
Committee on the Budget,BU00,465,39
Committee on Small Business,SM00,272,26
Committee on Ways and Means,WM00,123,40
Committee on Rules,RU00,90,14
Committee on House Administration,HA00,65,10
Select Committee on the Events Surrounding the 2012 Terrorist Attack in Benghazi,ZI00,7,13
