,No. Committees,No. Conflicts
Robin L. Kelly,5,40
Ken Calvert,5,42
Virginia Foxx,5,3
Gene Green,5,22
John Kline,5,13
Jared Huffman,5,26
Michael H. Michaud,5,19
Tulsi Gabbard,5,37
Elijah E. Cummings,5,20
Roger Williams,5,10
Todd Rokita,5,21
John F. Tierney,5,31
Alan Nunnelee,5,25
Linda T. Senchez,5,1
Cedric L. Richmond,5,22
Phil Gingrey,5,17
Charles W. Dent,5,10
"Steve Southerland,  II",5,23
Aaron Schock,5,3
Ileana Ros-Lehtinen,5,18
Jared Polis,5,3
Gregg Harper,5,11
Jeff Miller,5,24
Martha Roby,5,7
David Schweikert,5,4
Sam Graves,5,3
"Donald M. Payne,  Jr.",5,5
Karen Bass,5,42
John Shimkus,5,27
Patrick Murphy,5,5
Grace Meng,5,13
Kay Granger,4,11
Mark E. Amodei,4,15
Jack Kingston,4,22
Chris Stewart,4,12
Darrell E. Issa,4,44
Tom McClintock,4,12
Bob Goodlatte,4,5
John Abney Culberson,4,9
Lee Terry,4,14
David E. Price,4,5
Mario Diaz-Balart,4,15
Tom Latham,4,17
David P. Joyce,4,14
Barbara Lee,4,13
Rodney P. Frelinghuysen,4,20
E. Scott Rigell,4,10
Billy Long,4,7
Ander Crenshaw,4,13
Chaka Fattah,4,14
Hakeem S. Jeffries,4,14
Marcy Kaptur,4,22
Frank R. Wolf,4,11
"Charles J. ""Chuck"" Fleischmann",4,26
Tom Graves,4,15
Jose E. Serrano,4,22
"Sanford D. Bishop,  Jr.",4,8
Robert B. Aderholt,4,27
Paul Tonko,4,8
Tim Ryan,4,15
Diana DeGette,4,8
John R. Carter,4,15
Renee L. Ellmers,4,13
Jerry McNerney,4,8
Kevin Yoder,4,12
John Campbell,4,10
Joseph R. Pitts,4,11
Earl Blumenauer,4,7
Tim Murphy,4,12
Doris O. Matsui,4,13
Lois Capps,4,11
James P. Moran,4,20
David B. McKinley,4,8
G. K. Butterfield,4,13
Jim Matheson,4,15
Daniel T. Kildee,4,12
Lloyd Doggett,4,6
Eliot L. Engel,4,34
Leonard Lance,4,15
Steve Scalise,4,13
Scott Garrett,4,12
Robert E. Latta,4,13
Edward R. Royce,4,23
Andy Harris,4,15
Bill Cassidy,4,11
Nydia M. Velezquez,4,4
Steve Womack,4,21
David W. Jolly,4,16
Donna M. Christensen,4,17
David G. Valadao,4,22
Mark Pocan,4,12
Bobby L. Rush,4,14
Pete Olson,4,12
Cory Gardner,4,13
Ed Whitfield,4,11
Gwen Moore,4,12
James P. McGovern,4,1
Jeff Fortenberry,4,13
H. Morgan Griffith,4,14
Michael K. Simpson,4,15
Sam Farr,3,3
"Bill Pascrell,  Jr.",3,5
Ben Ray Lujen,3,2
Michael F. Doyle,3,7
Bruce L. Braley,3,2
John P. Sarbanes,3,8
Diane Black,3,7
Lucille Roybal-Allard,3,9
Paul Ryan,3,5
Chellie Pingree,3,15
Henry Cuellar,3,4
Michael M. Honda,3,8
Christopher H. Smith,3,5
Betty McCollum,3,13
Mike Quigley,3,4
Peter J. Visclosky,3,8
Robert A. Brady,3,6
Rosa L. DeLauro,3,8
"Howard P. ""Buck"" McKeon",3,16
Justin Amash,3,3
James Lankford,3,13
William L. Owens,3,5
Jim McDermott,3,5
Cathy McMorris Rodgers,2,1
"John Conyers,  Jr.",2,1
