ShortCode,Date
AG,31
AP,251
AS,148
BA,115
BU,25
ED,79
FA,245
GO,179
HA,14
HM,109
IF,229
II,174
JU,164
PW,96
RU,106
SM,86
SO,1
SY,118
VR,123
WM,99
ZI,2
