Date,Committee,Hearing Title,Time,Link,Code
"Tuesday, March 5, 2013","Subcommittee on Railroads, Pipelines, and Hazardous Materials (Committee on Transportation and Infrastructure)",Freight and Passenger Rail in America s Transportation System,11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100380,PW14
"Tuesday, February 5, 2013",Committee on Oversight and Government Reform,Full Committee Business Meeting,12:30 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100224,GO00
"Tuesday, February 5, 2013",Committee on Oversight and Government Reform,Full Committee Hearing  Government Spending:  How Can We Best Address the Billions of Dollars Wasted Every Year ?,1:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100219,GO00
"Tuesday, February 5, 2013",Subcommittee on Disability Assistance and Memorial Affairs (Committee on Veterans Affairs),The 100% Temporary Disability Rating: An Examination of Its Effective Use,2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100213,VR09
"Tuesday, February 5, 2013",Committee on Energy and Commerce,Business Meeting to adopt the Committes Oversight Plan for the 113th Congress,4:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100232,IF00
"Tuesday, February 5, 2013",Committee on Ethics,Organizational Meeting for the 113th Congress,4:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100233,SO00
"Wednesday, February 6, 2013",Committee on Financial Services, Examining the Proper Role of the Federal Housing Administration in our Mortgage Insurance Market ,9:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100234,BA00
"Wednesday, February 13, 2013",Committee on the Budget,Hearing: The Congressional Budget Offices Budget and Economic Outlook,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100216,BU00
"Wednesday, February 6, 2013","Committee on Science, Space, and Technology",American Competitiveness: The Role of Research and Development,9:30 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100236,SY00
"Wednesday, February 13, 2013",Committee on Armed Services,Impacts of a Continuing Resolution and Sequestration on Defense,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100259,AS00
"Wednesday, February 13, 2013",Committee on Financial Services," Bailout, Bust, or Much Ado About Nothing?: A Look at the Federal Housing Administration s 2012 Actuarial Report ",10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100257,BA00
"Wednesday, February 13, 2013",Subcommittee on Oversight and Investigations (Committee on Energy and Commerce),Influenza: Perspective on Current Season and Update on Preparedness,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100255,IF02
"Wednesday, February 13, 2013",Committee on Veterans Affairs,Honoring the Commitment: Overcoming Barriers to Quality Mental Health Care for veterans,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100276,VR00
"Wednesday, February 13, 2013",Committee on Agriculture,To consider the Oversight Plan of the Committee on Agriculture for the 113th Congress and other organizational matters,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100269,AG00
"Wednesday, February 13, 2013",Subcommittee on National Security (Committee on Oversight and Reform),U.S. Direct Assistance in Afghanistan: Ensuring Transparency and Accountability,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100262,GO06
"Wednesday, February 13, 2013",Committee on the Budget,Organizational Meeting,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100241,BU00
"Wednesday, February 13, 2013",Committee on Homeland Security, A New Perspective on Threats to the Homeland. ,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100227,HM00
"Wednesday, February 13, 2013","Subcommittee on Energy (Committee on Science, Space, and Technology)","American Energy Outlook: Technology, Market, and Policy Drivers",10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100237,SY20
"Wednesday, February 13, 2013","Subcommittee on Health, Employment, Labor, and Pensions (Committee on Education and Labor)","The Future of the NLRB:  What Noel Canning vs. NLRB Means for Workers, Employers, and Unions.",10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100246,ED02
"Wednesday, February 13, 2013",Subcommittee on Communications and Technology (Committee on Energy and Commerce),Satellite Video 101,10:30 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100256,IF16
"Wednesday, February 13, 2013",Committee on Transportation and Infrastructure,The Federal Role in America s Infrastructure,11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100253,PW00
"Wednesday, February 13, 2013",Committee on Small Business,The State of The Small Business Economy,1:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100228,SM00
"Wednesday, February 13, 2013","Subcommittee on Intelligence, Emerging Threats and Capabilities (Committee on Armed Services)","Perspectives on the Future National Security Environment: Technological, Geopolitical and Economic Trends Affecting the Defense Strategic Guidance",2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100261,AS26
"Wednesday, February 13, 2013",Committee on Rules,H.R. 273 To eliminate the 2013 statutory pay adjustment for Federal Employees; Oversight Plan of the Committee on Rules for the 113th Congress,3:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100273,RU00
"Thursday, February 14, 2013",Committee on Ways and Means,Camp Announces Hearing on Tax Reform and Charitable Contributions,9:30 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100240,WM00
