value,id,variable
Aaron Schock,5,5
Adam B. Schiff,6,6
Adam Kinzinger,7,7
Adam Smith,2,2
Adrian Smith,3,3
Al Green,3,3
Alan Grayson,6,6
Alan Nunnelee,5,5
Alan S. Lowenthal,7,7
Albio Sires,6,6
Alcee L. Hastings,2,2
Allyson Y. Schwartz,3,3
Ami Bera,6,6
Ander Crenshaw,4,4
Andre Carson,6,6
Andy Barr,3,3
Andy Harris,4,4
Ann Kirkpatrick,7,7
Ann M. Kuster,8,8
Ann Wagner,3,3
Anna G. Eshoo,2,2
Austin Scott,8,8
Barbara Lee,4,4
Ben Ray Lujen,3,3
Bennie G. Thompson,7,7
Beto O'Rourke,6,6
Betty McCollum,3,3
Bill Cassidy,4,4
Bill Flores,6,6
Bill Foster,3,3
Bill Huizenga,3,3
Bill Johnson,7,7
"Bill Pascrell,  Jr.",3,3
Bill Posey,6,6
Bill Shuster,9,9
Billy Long,4,4
Blaine Luetkemeyer,6,6
Blake Farenthold,10,10
Bob Gibbs,8,8
Bob Goodlatte,4,4
Bobby L. Rush,4,4
Brad R. Wenstrup,6,6
Brad Sherman,6,6
Bradley Byrne,9,9
Bradley S. Schneider,6,6
Brett Guthrie,7,7
Brian Higgins,6,6
Bruce L. Braley,3,3
C. A. Dutch Ruppersberger,1,1
Candice S. Miller,7,7
Carol Shea-Porter,6,6
Carolyn B. Maloney,6,6
Carolyn McCarthy,6,6
Cathy McMorris Rodgers,2,2
Cedric L. Richmond,5,5
Chaka Fattah,4,4
Charles B. Rangel,2,2
"Charles J. ""Chuck"" Fleischmann",4,4
"Charles W. Boustany,  Jr.",4,4
Charles W. Dent,5,5
Chellie Pingree,3,3
Cheri Bustos,6,6
Chris Collins,9,9
Chris Stewart,4,4
Chris Van Hollen,1,1
Christopher H. Smith,3,3
Christopher P. Gibson,7,7
Colleen W. Hanabusa,7,7
Collin C. Peterson,1,1
Corrine Brown,6,6
Cory Gardner,4,4
Curt Clawson,6,6
Cynthia M. Lummis,10,10
Dan Benishek,9,9
Dana Rohrabacher,6,6
Daniel B. Maffei,6,6
Daniel Lipinski,6,6
Daniel T. Kildee,4,4
Daniel Webster,7,7
Danny K. Davis,6,6
Darrell E. Issa,4,4
Dave Camp,1,1
David B. McKinley,4,4
David E. Price,4,4
David G. Reichert,3,3
David G. Valadao,4,4
David Loebsack,6,6
David N. Cicilline,6,6
David P. Joyce,4,4
David P. Roe,6,6
David Schweikert,5,5
David Scott,6,6
David W. Jolly,4,4
Debbie Wasserman Schultz,3,3
Dennis A. Ross,3,3
Denny Heck,4,4
Derek Kilmer,6,6
Devin Nunes,5,5
Diana DeGette,4,4
Diane Black,3,3
Dina Titus,8,8
Doc Hastings,9,9
Don Young,8,8
"Donald M. Payne,  Jr.",5,5
Donna F. Edwards,7,7
Donna M. Christensen,4,4
Doris O. Matsui,4,4
