,year,month,conflicts,hearings
0,2013,1,91,22
0,2013,2,546,118
0,2013,3,895,167
0,2013,4,933,207
0,2013,5,520,140
0,2013,6,598,159
0,2013,7,560,146
0,2013,8,123,24
0,2013,9,266,83
0,2013,10,240,75
0,2013,11,402,85
0,2013,12,214,65
0,2014,1,234,62
0,2014,2,590,114
0,2014,3,631,162
0,2014,4,1090,191
0,2014,5,343,107
0,2014,6,541,124
0,2014,7,768,170
0,2014,8,0,5
0,2014,9,383,85
0,2014,10,0,6
0,2014,11,103,39
0,2014,12,69,38
