,year,month,conflicts,hearings
0,2015,1,291,53
0,2015,2,925,158
0,2015,3,1190,218
0,2015,4,932,158
0,2015,5,465,96
0,2015,6,709,172
0,2015,7,757,141
0,2015,8,2,5
0,2015,9,438,100
0,2015,10,624,117
0,2015,11,353,86
0,2015,12,235,77
0,2016,1,126,41
0,2016,2,1050,184
0,2016,3,953,194
0,2016,4,535,139
0,2016,5,546,129
0,2016,6,467,101
0,2016,7,538,106
0,2016,8,0,3
0,2016,9,615,150
0,2016,10,0,1
0,2016,11,64,22
0,2016,12,60,25
