Committee,Code,Scheduling Conflicts,Committee Members (Count)
Committee on Oversight and Government Reform,GO00,2602,43
Committee on Foreign Affairs,FA00,2575,45
Committee on Energy and Commerce,IF00,2130,54
Committee on Natural Resources,II00,1817,44
Committee on the Judiciary,JU00,1765,40
Committee on Agriculture,AG00,1605,46
Committee on Transportation and Infrastructure,PW00,1499,60
Committee on Appropriations,AP00,1468,52
Committee on Armed Services,AS00,1383,62
"Committee on Science, Space, and Technology",SY00,1382,39
Committee on Education and the Workforce,ED00,1079,39
Committee on Veterans Affairs,VR00,938,25
Committee on Homeland Security,HM00,937,31
Committee on Financial Services,BA00,907,61
Committee on Small Business,SM00,657,23
Committee on the Budget,BU00,509,37
Permanent Select Committee on Intelligence,IG00,202,23
Committee on Rules,RU00,122,14
Committee on House Administration,HA00,82,10
Committee on Ways and Means,WM00,46,40
Select Investigative Panel of the Committee on Energy and Commerce (Committee on Energy and Commerce),IE00,26,15
Select Committee on the Events Surrounding the 2012 Terrorist Attack in Benghazi,ZI00,19,13
