,No. Committees,No. Conflicts
Lois Frankel,7,39
Wm. Lacy Clay,7,81
Thomas J. Rooney,7,21
Gwen Graham,7,26
John Garamendi,7,12
Rael R. Labrador,7,53
Jody B. Hice,7,69
Alma S. Adams,7,54
Ryan A. Costello,7,27
Dave Brat,7,43
Chris Stewart,7,36
Sean Patrick Maloney,7,25
Mark Walker,7,48
Elise M. Stefanik,7,20
Timothy J. Walz,7,55
Mimi Walters,7,26
John R. Moolenaar,7,55
Judy Chu,7,33
Ted S. Yoho,7,48
Daniel Lipinski,7,18
Bennie G. Thompson,7,1
"John J. Duncan,  Jr.",7,30
Reid J. Ribble,7,31
Steve Cohen,7,24
Paul A. Gosar,7,64
Glenn Grothman,7,70
Doug LaMalfa,7,40
Jared Huffman,7,29
K. Michael Conaway,7,11
Donna F. Edwards,7,20
"Eric A. ""Rick"" Crawford",7,27
Lois Capps,7,60
John L. Mica,7,30
Cynthia M. Lummis,7,71
Jim Jordan,7,79
Louie Gohmert,7,55
Austin Scott,7,13
David Rouzer,7,31
Brian Babin,7,20
Steve Chabot,7,104
Fred Upton,7,70
Richard L. Hanna,7,16
Sam Graves,7,8
John Katko,7,16
Bob Gibbs,7,28
Gary J. Palmer,6,74
Rick W. Allen,6,26
Andre Carson,6,4
Luke Messer,6,31
Patrick Murphy,6,8
Marcia L. Fudge,6,29
Jerry McNerney,6,38
Robert J. Wittman,6,19
Peter A. DeFazio,6,1
Tom Cole,6,56
J. Randy Forbes,6,44
Joaquin Castro,6,17
Robin L. Kelly,6,83
Mike Bishop,6,33
Ryan K. Zinke,6,27
Brian Higgins,6,34
Tim Walberg,6,43
David P. Roe,6,28
Sheila Jackson Lee,6,23
Madeleine Z. Bordallo,6,20
Michael C. Burgess,6,36
Trent Kelly,6,25
Marc A. Veasey,6,9
Thomas MacArthur,6,24
Marsha Blackburn,6,35
Grace F. Napolitano,6,13
David N. Cicilline,6,63
Peter Welch,6,101
Kathleen M. Rice,6,29
Mark DeSaulnier,6,35
Jim Costa,6,27
Michelle Lujan Grisham,6,74
Susan A. Davis,6,14
Beto O'Rourke,6,27
Raul Ruiz,6,27
Janice Hahn,6,15
"Donald S. Beyer,  Jr.",6,34
Stacey E. Plaskett,6,50
Cedric L. Richmond,6,31
William R. Keating,6,38
Ami Bera,6,54
Jim Cooper,6,24
Brad Sherman,6,48
Gregory W. Meeks,6,38
Frank Pallone Jr.,6,68
Filemon Vela,6,26
Norma J. Torres,6,18
Loretta Sanchez,6,14
Terri A. Sewell,6,7
Mike Quigley,6,8
James A. Himes,6,7
Eric Swalwell,6,10
Ann M. Kuster,6,34
Katherine M. Clark,6,22
Stephen F. Lynch,6,63
Brenda L. Lawrence,6,35
Gerald E. Connolly,6,87
David A. Trott,6,54
Niki Tsongas,6,27
Mike Coffman,6,25
Blaine Luetkemeyer,6,21
Trent Franks,6,25
David Scott,6,28
Ed Perlmutter,6,37
"F. James Sensenbrenner,  Jr.",6,37
Darrell E. Issa,6,61
Suzanne Bonamici,6,27
Curt Clawson,6,39
Bill Posey,6,35
Tulsi Gabbard,6,25
"Daniel M. Donovan,  Jr.",6,39
Warren Davidson,6,15
Martha McSally,6,14
Gregorio Kilili Camacho Sablan,6,20
Ted Poe,6,48
Hakeem S. Jeffries,6,32
Gus M. Bilirakis,6,62
John Fleming,6,23
Will Hurd,6,45
Rob Woodall,6,14
"Randy K. Weber,  Sr.",6,48
Jim Bridenstine,6,15
Barry Loudermilk,6,28
Ruben Hinojosa,6,26
Elizabeth H. Esty,6,16
Cheri Bustos,6,19
Tim Huelskamp,6,30
Pete Aguilar,6,27
Joe Courtney,6,14
Rick Larsen,6,13
Paul Tonko,6,40
Scott H. Peters,6,24
Jeff Miller,6,26
Pedro R. Pierluisi,6,33
John Ratcliffe,6,28
Darin LaHood,6,21
Ken Buck,6,69
Dana Rohrabacher,6,41
Ileana Ros-Lehtinen,6,22
Brad Ashford,6,26
Susan W. Brooks,6,22
Matt Salmon,6,30
Seth Moulton,6,36
Randy Hultgren,6,38
Gene Green,5,25
Mark Sanford,5,13
Bill Foster,5,32
Debbie Dingell,5,15
James P. McGovern,5,9
Grace Meng,5,35
James R. Langevin,5,16
Elijah E. Cummings,5,26
Brendan F. Boyle,5,62
Doug Collins,5,19
Joseph R. Pitts,5,14
Corrine Brown,5,23
Barbara Lee,5,21
Steve Womack,5,42
Janice D. Schakowsky,5,21
Gregg Harper,5,18
Joe Barton,5,37
John Shimkus,5,31
Steve Stivers,5,13
Diana DeGette,5,10
John A. Yarmuth,5,29
Mario Diaz-Balart,5,19
Karen Bass,5,44
Bill Johnson,5,27
Larry Bucshon,5,13
Carolyn B. Maloney,5,54
Andy Harris,5,24
Kathy Castor,5,33
"Donald M. Payne,  Jr.",5,14
Martha Roby,5,16
Virginia Foxx,5,5
Charles W. Dent,5,8
Marcy Kaptur,4,26
Tim Ryan,4,12
Donald Norcross,4,8
Bobby L. Rush,4,14
"Bill Pascrell,  Jr.",4,8
Mark Pocan,4,15
Richard Hudson,4,10
Renee L. Ellmers,4,21
Juan Vargas,4,6
Tony Cerdenas,4,17
Frank C. Guinta,4,16
Billy Long,4,21
Eliot L. Engel,4,40
Markwayne Mullin,4,18
"Joseph P. Kennedy,  III",4,19
Jim McDermott,4,10
Nydia M. Velezquez,4,17
Gwen Moore,4,17
G. K. Butterfield,4,20
Kevin Cramer,4,8
Chris Collins,4,18
Michael F. Doyle,4,12
Ted Lieu,4,25
David Young,4,16
"Charles J. ""Chuck"" Fleischmann",4,22
Evan H. Jenkins,4,17
Jason Chaffetz,4,53
Tom McClintock,4,10
Steven M. Palazzo,4,9
David W. Jolly,4,7
Bob Goodlatte,4,34
Edward R. Royce,4,30
H. Morgan Griffith,4,19
Sean P. Duffy,4,2
David P. Joyce,4,15
Scott Garrett,4,14
Jaime Herrera Beutler,4,16
Tim Murphy,4,11
David G. Valadao,4,17
Mark E. Amodei,4,9
Kevin Yoder,4,16
Leonard Lance,4,20
Robert E. Latta,4,12
David B. McKinley,4,10
Devin Nunes,4,3
E. Scott Rigell,4,9
Diane Black,4,9
Richard B. Nugent,4,9
Jeff Fortenberry,4,7
Marlin A. Stutzman,4,16
Adam Kinzinger,4,14
Betty McCollum,4,17
Lucille Roybal-Allard,4,22
Jose E. Serrano,4,12
Robert B. Aderholt,4,30
Alexander X. Mooney,4,9
John Abney Culberson,4,12
Pete Olson,4,14
Rodney P. Frelinghuysen,4,26
Bill Flores,4,10
Michael K. Simpson,4,26
Ander Crenshaw,4,12
David E. Price,4,9
Sam Farr,4,7
John R. Carter,4,24
John Kline,4,12
Kay Granger,4,15
Tom Graves,4,8
Ken Calvert,4,30
"Sanford D. Bishop,  Jr.",4,18
James B. Renacci,4,9
Mia B. Love,4,1
Doris O. Matsui,3,9
David Loebsack,3,7
John P. Sarbanes,3,6
Ben Ray Lujen,3,9
Kurt Schrader,3,5
Christopher H. Smith,3,13
Tom Price,3,7
Rosa L. DeLauro,3,9
Debbie Wasserman Schultz,3,1
C. A. Dutch Ruppersberger,3,3
Henry Cuellar,3,5
Peter J. Visclosky,3,10
Derek Kilmer,3,8
Robert A. Brady,3,7
Michael M. Honda,3,3
Frederica S. Wilson,3,1
Chellie Pingree,3,13
Rod Blum,3,18
Walter B. Jones,3,1
Steve Israel,3,13
"Robert C. ""Bobby"" Scott",2,1
Justin Amash,2,4
Adam Smith,2,1
