,No. Committees,No. Conflicts
Michael T. McCaul,12,124
Lamar Smith,11,108
Carlos Curbelo,10,59
Cresent Hardy,10,73
Blake Farenthold,10,119
Mike Bost,10,82
Randy Neugebauer,10,95
Scott Perry,10,78
Lee M. Zeldin,10,108
Frank D. Lucas,10,94
Thomas Massie,10,88
Eddie Bernice Johnson,10,26
Mark Meadows,10,144
Frank A. LoBiondo,10,18
Duncan Hunter,10,51
Lou Barletta,10,47
Stephen Knight,10,62
Jeff Denham,10,61
Paul Cook,10,92
Glenn Thompson,10,97
Steve Russell,9,71
Tom Marino,9,114
Rob Bishop,9,53
Brad R. Wenstrup,9,51
Bradley Byrne,9,36
"Earl L. ""Buddy"" Carter",9,96
Christopher P. Gibson,9,50
Dan Newhouse,9,53
Peter T. King,9,36
Jeff Duncan,9,100
Doug Lamborn,9,61
Mike Rogers,9,47
Mo Brooks,9,71
Dan Benishek,9,87
Ron DeSantis,9,199
Ralph Lee Abraham,9,94
Vicky Hartzler,9,30
Joseph J. Heck,9,21
Rodney Davis,9,37
Steve King,9,94
Rael M. Grijalva,9,57
Jared Polis,9,51
Michael E. Capuano,9,21
Aumua Amata Coleman Radewagen,8,47
Lynn A. Westmoreland,8,7
Bill Shuster,8,12
Don Young,8,31
Barbara Comstock,8,32
Candice S. Miller,8,25
Ann Kirkpatrick,8,27
Eleanor Holmes Norton,8,32
Trey Gowdy,8,72
Scott DesJarlais,8,156
Suzan K. DelBene,8,48
Joe Wilson,8,85
Jackie Walorski,8,63
Dina Titus,8,33
Michael R. Turner,8,43
Yvette D. Clarke,8,39
Richard M. Nolan,8,26
Mark Takano,8,78
Todd Rokita,8,48
Mike Pompeo,8,28
Bonnie Watson Coleman,7,46
Garret Graves,7,23
Brett Guthrie,7,50
Jackie Speier,7,7
Alan S. Lowenthal,7,78
Ruben Gallego,7,33
Alan Grayson,7,59
Bruce Westerman,7,45
Mick Mulvaney,7,66
Jerrold Nadler,7,23
Tammy Duckworth,7,29
Julia Brownley,7,31
Albio Sires,7,30
"Henry C. ""Hank"" Johnson,  Jr.",7,29
Zoe Lofgren,7,51
Theodore E. Deutch,7,48
