ShortCode,Date
AG,95
AP,238
AS,163
BA,132
BU,26
ED,68
FA,245
GO,211
HA,15
HM,111
IE,3
IF,234
IG,39
II,150
JU,142
PW,69
RU,114
SM,79
SY,117
VR,122
WM,99
ZI,4
