value,id,variable
Keith J. Rothfus,3,3
Ken Buck,6,6
Ken Calvert,4,4
Kenny Marchant,5,5
Kevin Brady,1,1
Kevin Cramer,4,4
Kevin Yoder,4,4
Kristi L. Noem,3,3
Kurt Schrader,3,3
Kyrsten Sinema,3,3
Lamar Smith,11,11
Larry Bucshon,5,5
Lee M. Zeldin,10,10
Leonard Lance,4,4
Linda T. Senchez,4,4
Lloyd Doggett,4,4
Lois Capps,7,7
Lois Frankel,7,7
Loretta Sanchez,6,6
Lou Barletta,10,10
Louie Gohmert,7,7
Louise McIntosh Slaughter,2,2
Lucille Roybal-Allard,4,4
Luis V. Gutierrez,3,3
Luke Messer,6,6
Lynn A. Westmoreland,8,8
Lynn Jenkins,3,3
Mac Thornberry,1,1
Madeleine Z. Bordallo,6,6
Marc A. Veasey,6,6
Marcia L. Fudge,6,6
Marcy Kaptur,4,4
Mario Diaz-Balart,5,5
Mark DeSaulnier,6,6
Mark E. Amodei,4,4
Mark Meadows,10,10
Mark Pocan,4,4
Mark Sanford,5,5
Mark Takano,8,8
Mark Walker,7,7
Markwayne Mullin,4,4
Marlin A. Stutzman,4,4
Marsha Blackburn,6,6
Martha McSally,6,6
Martha Roby,5,5
Matt Cartwright,1,1
Matt Salmon,6,6
Maxine Waters,6,6
Mia B. Love,4,4
Michael C. Burgess,6,6
Michael E. Capuano,9,9
Michael F. Doyle,4,4
Michael G. Fitzpatrick,3,3
Michael K. Simpson,4,4
Michael M. Honda,3,3
Michael R. Turner,8,8
Michael T. McCaul,12,12
Michelle Lujan Grisham,6,6
Mick Mulvaney,7,7
Mike Bishop,6,6
Mike Bost,10,10
Mike Coffman,6,6
Mike Kelly,4,4
Mike Pompeo,8,8
Mike Quigley,6,6
Mike Rogers,9,9
Mike Thompson,3,3
Mimi Walters,7,7
Mo Brooks,9,9
Niki Tsongas,6,6
Nita M. Lowey,2,2
Norma J. Torres,6,6
Nydia M. Velezquez,4,4
Patrick J. Tiberi,3,3
Patrick Meehan,4,4
Patrick Murphy,6,6
Patrick T. McHenry,3,3
Paul A. Gosar,7,7
Paul Cook,10,10
Paul Tonko,6,6
Pedro R. Pierluisi,6,6
Pete Aguilar,6,6
Pete Olson,4,4
Pete Sessions,2,2
Peter A. DeFazio,6,6
Peter J. Roskam,4,4
Peter J. Visclosky,3,3
Peter T. King,9,9
Peter Welch,6,6
Rael M. Grijalva,9,9
Rael R. Labrador,7,7
Ralph Lee Abraham,9,9
Randy Hultgren,6,6
"Randy K. Weber,  Sr.",6,6
Randy Neugebauer,10,10
Raul Ruiz,6,6
Reid J. Ribble,7,7
Renee L. Ellmers,4,4
Richard B. Nugent,4,4
Richard E. Neal,3,3
Richard Hudson,4,4
Richard L. Hanna,7,7
Richard M. Nolan,8,8
Rick Larsen,6,6
Rick W. Allen,6,6
Rob Bishop,9,9
Rob Woodall,6,6
Robert A. Brady,3,3
Robert B. Aderholt,4,4
"Robert C. ""Bobby"" Scott",2,2
Robert E. Latta,4,4
Robert Hurt,4,4
Robert J. Dold,3,3
Robert J. Wittman,6,6
Robert Pittenger,3,3
Robin L. Kelly,6,6
Rod Blum,3,3
Rodney Davis,9,9
Rodney P. Frelinghuysen,4,4
Roger Williams,3,3
Ron DeSantis,9,9
Ron Kind,3,3
Rosa L. DeLauro,3,3
Ruben Gallego,7,7
Ruben Hinojosa,6,6
Ryan A. Costello,7,7
Ryan K. Zinke,6,6
Sam Farr,4,4
Sam Graves,7,7
Sam Johnson,3,3
Sander M. Levin,1,1
"Sanford D. Bishop,  Jr.",4,4
Scott DesJarlais,8,8
Scott Garrett,4,4
Scott H. Peters,6,6
Scott Perry,10,10
Scott R. Tipton,3,3
Sean P. Duffy,4,4
Sean Patrick Maloney,7,7
Seth Moulton,6,6
Sheila Jackson Lee,6,6
Stacey E. Plaskett,6,6
Stephen F. Lynch,6,6
Stephen Knight,10,10
Stephen Lee Fincher,3,3
Stevan Pearce,4,4
Steve Chabot,7,7
Steve Cohen,7,7
Steve Israel,3,3
Steve King,9,9
Steve Russell,9,9
Steve Scalise,2,2
Steve Stivers,5,5
Steve Womack,5,5
Steven M. Palazzo,4,4
Susan A. Davis,6,6
Susan W. Brooks,6,6
Suzan K. DelBene,8,8
Suzanne Bonamici,6,6
Tammy Duckworth,7,7
Ted Lieu,4,4
Ted Poe,6,6
Ted S. Yoho,7,7
Terri A. Sewell,6,6
Theodore E. Deutch,7,7
Thomas J. Rooney,7,7
Thomas MacArthur,6,6
Thomas Massie,10,10
Tim Huelskamp,6,6
Tim Murphy,4,4
Tim Ryan,4,4
Tim Walberg,6,6
Timothy J. Walz,7,7
Todd C. Young,3,3
Todd Rokita,8,8
Tom Cole,6,6
Tom Emmer,3,3
Tom Graves,4,4
Tom Marino,9,9
Tom McClintock,4,4
Tom Price,3,3
Tom Reed,4,4
Tom Rice,4,4
Tony Cerdenas,4,4
Trent Franks,6,6
Trent Kelly,6,6
Trey Gowdy,8,8
Tulsi Gabbard,6,6
Vern Buchanan,4,4
Vicky Hartzler,9,9
Virginia Foxx,5,5
Walter B. Jones,3,3
Warren Davidson,6,6
Will Hurd,6,6
William R. Keating,6,6
Wm. Lacy Clay,7,7
Xavier Becerra,2,2
Yvette D. Clarke,8,8
Zoe Lofgren,7,7
