Date,Committee,Hearing Title,Time,Link,Code
"Wednesday, January 4, 2017",Committee on Rules,Committee Organizational Meeting for the 115th Congress,10:30 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105464,RU00
"Wednesday, January 4, 2017",Committee on Rules,"H.R. 26 Regulations from the Executive in Need of Scrutiny Act of 2017; H. Res. 11 Objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace, and for other purposes.",11:45 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105467,RU00
"Monday, January 9, 2017",Committee on Rules,H.R. 5 Regulatory Accountability Act of 2017; H.R. 79 HALOS Act,5:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105595,RU00
"Tuesday, January 10, 2017",Permanent Select Committee on Intelligence,Full Committee Business Meeting (Closed),9:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105469,IG00
"Tuesday, January 10, 2017",Committee on Rules,H.R. 78 SEC Regulatory Accountability Act; H.R. 238 Commodity End-User Relief Act,3:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105466,RU00
"Wednesday, January 11, 2017",Committee on House Administration,Committee Organizational Meeting for the 115th Congress,11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105468,HA00
"Thursday, January 12, 2017",Committee on Armed Services,Organizational Meeting for the 115th Congress,2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105470,AS00
"Thursday, January 12, 2017",Committee on Armed Services,H.R. 393 - To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces.,2:15 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105471,AS00
"Thursday, January 12, 2017",Committee on Ways and Means,Ways and Means Organization Meeting and Consideration of Rules,3:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105473,WM00
"Thursday, January 12, 2017",Committee on Rules,S. Con. Res. 3 Setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.; S. 84 To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces.,3:30 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105475,RU00
"Monday, January 23, 2017",Committee on Rules,H.R. 7 No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2017,5:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105459,RU00
"Tuesday, January 24, 2017",Committee on the Budget,Consideration of Rules of the Committee on the Budget for the 115th CongressANDConsideration of the Committee on the Budgets Oversight Plan for the 115th Congress,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105480,BU00
"Tuesday, January 24, 2017",Permanent Select Committee on Intelligence,Full Committee Hearing: Ongoing Intelligence Activities (Closed),10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105476,IG00
"Tuesday, January 24, 2017",Committee on the Budget,The Failures of Obamacare: Harmful Effects and Broken Promises,10:15 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105481,BU00
"Tuesday, January 24, 2017",Committee on Foreign Affairs,Committee Organizational Meeting,10:30 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105483,FA00
"Tuesday, January 24, 2017",Committee on the Judiciary,Adoption of Committee Rules; and Ratification of Subcommittee Assignments,11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105487,JU00
"Tuesday, January 24, 2017",Committee on Education and the Workforce,Organizational meeting to consider and adopt the Rules of the Committee on Education and the Workforce for the 115th Congress AND to consider and adopt the Committee on Education and the Workforce Oversight Plan for the 115th Congress.,11:15 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105486,ED00
"Tuesday, January 24, 2017",Committee on Appropriations,Organizational Meeting for the 115th Congress,11:30 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105482,AP00
"Tuesday, January 24, 2017",Committee on Oversight and Government Reform,Organization Meeting,1:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105479,GO00
"Tuesday, January 24, 2017",Committee on Energy and Commerce,"Organizational Meeting, Energy and Commerce",1:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105485,IF00
"Tuesday, January 24, 2017",Subcommittee on Oversight (Committee on Ways and Means),Organizational Meeting,2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105477,WM06
"Tuesday, January 24, 2017",Subcommittee on Oversight (Committee on Ways and Means),Examining the Effectiveness of the Individual Mandate under the Affordable Care Act,2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105478,WM06
"Monday, January 30, 2017",Committee on Rules,"H.J. Res. 38 Disapproving the rule submitted by the Department of the Interior known as the Stream Protection Rule.; H.J. Res. 41 Providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Securities and Exchange Commission relating to Disclosure of Payments by Resource Extraction Issuers.; H.J. Res. 40 Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Social Security Administration relating to Implementation of the NICS Improvement Amendments Act of 2007.",5:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105504,RU00
"Tuesday, January 31, 2017",Subcommittee on Oversight and Investigations (Committee on Energy and Commerce),Medicaid Oversight: Existing Problems and Ways to Strengthen the Program,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105493,IF02
"Tuesday, January 31, 2017",Committee on Oversight and Government Reform,"The Committee s Authorization and Oversight Plan for the 115th Congress;H.R. 396, Tax Accountability Act of 2017;H.R. 194, Federal Agency Mail Management Act of 2017;H.R. 702, Federal Employee Antidiscrimination Act of 2017;H.R. 679, Construction Consensus Procurement Improvement Act of 2017;H.R. 653, Federal Intern Protection Act of 2017; andH.R. 657, Follow the Rules Act.",10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105516,GO00
"Tuesday, January 31, 2017",Committee on Veterans Affairs,Formal Organization of the 115th Congress,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105490,VR00
"Tuesday, January 31, 2017",Committee on Transportation and Infrastructure,Organization Meeting,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105492,PW00
"Tuesday, January 31, 2017","Subcommitte on Health Care, Benefits and Administrative Rules (Committee on Oversight and Reform)"," Fraud, Waste and Abuse under the Affordable Care Act ",2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105511,GO27
"Tuesday, January 31, 2017",Committee on Rules,"H.J. Res. 37 Disapproving the final rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and Space Administration relating to the Federal Acquisition Regulation.; H.J. Res. 36 Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Bureau of Land Management relating to Waste Prevention, Production Subject to Royalties, and Resource Conservation.",3:30 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105500,RU00
"Wednesday, February 1, 2017",Committee on Armed Services,Full Committee Hearing: The State of the World: National Security Threats and Challenges,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105509,AS00
"Wednesday, February 1, 2017","Subcommittee on Terrorism, Nonproliferation, and Trade (Committee on Foreign Affairs)",Next Steps in the Special Relationship Impact of a U.S.-U.K. Free Trade Agreement,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105501,FA18
"Wednesday, February 1, 2017",Committee on Agriculture,1.  The Rules of the Committee on Agriculture for the 115th Congress.2.  The Oversight Plan of the Committee on Agriculture for the 115th Congress.3.  The Committee Staff List for the 115th Congress,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105515,AG00
"Wednesday, February 1, 2017",Committee on Oversight and Government Reform, Empowering the Inspectors General ,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105514,GO00
"Wednesday, February 1, 2017",Subcommittee on Health (Committee on Energy and Commerce),Strengthening Medicaid and Prioritizing the Most Vulnerable,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105498,IF14
"Wednesday, February 1, 2017",Committee on Education and the Workforce, Rescuing Americans from the Failed Health Care Law and Advancing Patient-Centered Solutions ,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105494,ED00
"Wednesday, February 1, 2017",Committee on Transportation and Infrastructure,Building a 21st Century Infrastructure for America,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105496,PW00
"Wednesday, February 1, 2017",Committee on Homeland Security,Organizational Meeting,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105484,HM00
"Wednesday, February 1, 2017",Subcommittee on Energy (Committee on Energy and Commerce),The Electricity Sectors Efforts to Respond to Cybersecurity Threats,10:15 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105497,IF03
