ShortCode,Date
AG,40
AP,211
AS,146
BA,149
BU,19
ED,65
FA,178
GO,145
HA,32
HM,96
IF,218
IG,34
II,149
JU,120
PW,74
RU,126
SM,93
SY,90
VR,117
WM,86
