value,id,variable
A. Donald McEachin,6,6
"A. Drew Ferguson,  IV",8,8
Adam B. Schiff,1,1
Adam Kinzinger,7,7
Adam Smith,1,1
Adrian Smith,4,4
Adriano Espaillat,7,7
Al Green,4,4
"Al Lawson,  Jr.",8,8
Alan S. Lowenthal,7,7
Albio Sires,7,7
Alcee L. Hastings,2,2
Alexander X. Mooney,3,3
Alma S. Adams,7,7
Ami Bera,6,6
Andre Carson,6,6
Andy Barr,3,3
Andy Biggs,6,6
Andy Harris,4,4
Ann M. Kuster,6,6
Ann Wagner,6,6
Anna G. Eshoo,3,3
Anthony G. Brown,7,7
Aumua Amata Coleman Radewagen,9,9
Austin Scott,7,7
Barbara Comstock,8,8
Barbara Lee,5,5
Barry Loudermilk,4,4
Ben Ray Lujen,3,3
Bennie G. Thompson,7,7
Beto O'Rourke,6,6
Betty McCollum,4,4
Bill Flores,7,7
Bill Foster,7,7
Bill Huizenga,3,3
Bill Johnson,5,5
"Bill Pascrell,  Jr.",3,3
Bill Posey,7,7
Bill Shuster,3,3
Billy Long,4,4
Blaine Luetkemeyer,6,6
Bob Gibbs,7,7
Bob Goodlatte,4,4
Bobby L. Rush,3,3
Bonnie Watson Coleman,6,6
Brad R. Wenstrup,6,6
Brad Sherman,7,7
Bradley Byrne,9,9
Bradley Scott Schneider,8,8
Brenda L. Lawrence,6,6
Brendan F. Boyle,4,4
Brett Guthrie,6,6
Brian Babin,7,7
Brian Higgins,4,4
Brian J. Mast,10,10
Brian K. Fitzpatrick,9,9
Bruce Poliquin,5,5
Bruce Westerman,8,8
C. A. Dutch Ruppersberger,4,4
Carlos Curbelo,3,3
Carol Shea-Porter,6,6
Carolyn B. Maloney,6,6
Cathy McMorris Rodgers,2,2
Cedric L. Richmond,6,6
"Charles J. ""Chuck"" Fleischmann",4,4
Charlie Crist,7,7
Chellie Pingree,3,3
Cheri Bustos,8,8
Chris Stewart,7,7
Christopher H. Smith,3,3
Claudia Tenney,4,4
Clay Higgins,9,9
Colleen Hanabusa,8,8
Collin C. Peterson,1,1
Conor Lamb,7,7
Dan Newhouse,7,7
Dana Rohrabacher,7,7
Daniel Lipinski,8,8
"Daniel M. Donovan,  Jr.",6,6
Daniel T. Kildee,4,4
Daniel Webster,11,11
Danny K. Davis,3,3
Darin LaHood,4,4
Darrell E. Issa,9,9
Darren Soto,7,7
Dave Brat,7,7
David A. Trott,4,4
David B. McKinley,4,4
David E. Price,4,4
David G. Reichert,4,4
David G. Valadao,4,4
David Kustoff,4,4
David Loebsack,3,3
David N. Cicilline,6,6
David P. Joyce,4,4
David P. Roe,4,4
David Rouzer,8,8
David Schweikert,4,4
David Scott,6,6
David Young,4,4
Debbie Dingell,4,4
Debbie Lesko,6,6
Debbie Wasserman Schultz,5,5
Dennis A. Ross,7,7
Denny Heck,6,6
Derek Kilmer,3,3
Devin Nunes,4,4
Diana DeGette,4,4
Diane Black,3,3
Dina Titus,8,8
Don Bacon,9,9
Don Young,7,7
"Donald M. Payne,  Jr.",7,7
Donald Norcross,6,6
"Donald S. Beyer,  Jr.",7,7
Doris O. Matsui,5,5
Doug Collins,5,5
Doug LaMalfa,10,10
Doug Lamborn,6,6
Dwight Evans,6,6
Earl Blumenauer,4,4
"Earl L. ""Buddy"" Carter",4,4
Ed Perlmutter,5,5
Eddie Bernice Johnson,10,10
Edward R. Royce,4,4
Eleanor Holmes Norton,7,7
Elijah E. Cummings,4,4
Eliot L. Engel,4,4
Elise M. Stefanik,9,9
Elizabeth H. Esty,8,8
Emanuel Cleaver,3,3
"Eric A. ""Rick"" Crawford",10,10
Eric Swalwell,6,6
Erik Paulsen,3,3
"F. James Sensenbrenner,  Jr.",6,6
Filemon Vela,5,5
Francis Rooney,6,6
Frank A. LoBiondo,10,10
Frank D. Lucas,10,10
Frank Pallone Jr.,6,6
"Frank Pallone,  Jr.",1,1
Fred Upton,4,4
Frederica S. Wilson,7,7
G. K. Butterfield,4,4
Garret Graves,7,7
Gary J. Palmer,7,7
Gene Green,5,5
George Holding,3,3
Gerald E. Connolly,6,6
Glenn Grothman,7,7
Glenn Thompson,9,9
Grace F. Napolitano,7,7
Grace Meng,3,3
Greg Gianforte,6,6
Greg Walden,7,7
Gregg Harper,5,5
Gregorio Kilili Camacho Sablan,6,6
Gregory W. Meeks,7,7
Gus M. Bilirakis,7,7
Gwen Moore,4,4
H. Morgan Griffith,4,4
Hakeem S. Jeffries,4,4
Harold Rogers,4,4
"Henry C. ""Hank"" Johnson,  Jr.",7,7
Henry Cuellar,3,3
Ileana Ros-Lehtinen,6,6
J. French Hill,4,4
J. Luis Correa,6,6
Jack Bergman,9,9
Jackie Speier,6,6
Jackie Walorski,3,3
Jacky Rosen,6,6
Jaime Herrera Beutler,4,4
James A. Himes,6,6
James B. Renacci,3,3
James Comer,6,6
James P. McGovern,5,5
James R. Langevin,7,7
Jamie Raskin,9,9
Janice D. Schakowsky,5,5
Jared Huffman,8,8
Jared Polis,6,6
Jason Lewis,8,8
Jason Smith,4,4
Jeb Hensarling,7,7
Jeff Denham,10,10
Jeff Duncan,4,4
Jeff Fortenberry,4,4
Jenniffer Gonzelez-Colen,9,9
Jerrold Nadler,1,1
Jerry McNerney,7,7
Jim Banks,10,10
Jim Cooper,6,6
Jim Costa,6,6
Jim Jordan,6,6
Jimmy Gomez,6,6
Jimmy Panetta,6,6
Joaquin Castro,6,6
Jodey C. Arrington,8,8
Jody B. Hice,9,9
Joe Barton,5,5
Joe Courtney,6,6
Joe Wilson,9,9
John A. Yarmuth,1,1
John Abney Culberson,4,4
John B. Larson,3,3
John Garamendi,7,7
John H. Rutherford,7,7
"John J. Duncan,  Jr.",7,7
John J. Faso,8,8
John K. Delaney,3,3
John Katko,7,7
John Lewis,2,2
John P. Sarbanes,5,5
John R. Carter,4,4
John R. Curtis,9,9
John R. Moolenaar,4,4
John Ratcliffe,7,7
John Shimkus,5,5
Jose E. Serrano,4,4
Joseph Crowley,3,3
"Joseph P. Kennedy,  III",4,4
Josh Gottheimer,4,4
Joyce Beatty,3,3
Juan Vargas,4,4
Judy Chu,5,5
Julia Brownley,7,7
Justin Amash,3,3
K. Michael Conaway,7,7
Karen Bass,5,5
Karen C. Handel,6,6
Katherine M. Clark,3,3
Kathleen M. Rice,6,6
Kathy Castor,4,4
Kay Granger,4,4
Keith Ellison,4,4
Keith J. Rothfus,7,7
Ken Buck,5,5
Ken Calvert,4,4
Kenny Marchant,5,5
Kevin Brady,1,1
Kevin Cramer,4,4
Kevin Yoder,4,4
Kristi L. Noem,3,3
Kurt Schrader,3,3
Kyrsten Sinema,3,3
Lamar Smith,11,11
Larry Bucshon,4,4
Lee M. Zeldin,7,7
Leonard Lance,5,5
Linda T. Senchez,3,3
Lisa Blunt Rochester,6,6
Liz Cheney,8,8
Lloyd Doggett,4,4
Lloyd Smucker,8,8
Lois Frankel,6,6
Lou Barletta,10,10
Louie Gohmert,6,6
Lucille Roybal-Allard,3,3
Luis V. Gutierrez,2,2
Luke Messer,7,7
Lynn Jenkins,3,3
Mac Thornberry,1,1
Madeleine Z. Bordallo,6,6
Marc A. Veasey,6,6
Marcia L. Fudge,6,6
Marcy Kaptur,4,4
Mario Diaz-Balart,5,5
Mark DeSaulnier,9,9
Mark E. Amodei,4,4
Mark Meadows,10,10
Mark Pocan,3,3
Mark Sanford,9,9
Mark Takano,8,8
Mark Walker,4,4
Markwayne Mullin,4,4
Marsha Blackburn,4,4
Martha McSally,7,7
Martha Roby,6,6
Matt Cartwright,5,5
Matt Gaetz,7,7
Maxine Waters,7,7
Mia B. Love,4,4
Michael C. Burgess,6,6
Michael Cloud,6,6
Michael E. Capuano,8,8
Michael F. Doyle,3,3
Michael K. Simpson,4,4
Michael R. Turner,6,6
Michael T. McCaul,9,9
Michelle Lujan Grisham,4,4
Mike Bishop,3,3
Mike Bost,10,10
Mike Coffman,6,6
Mike Gallagher,10,10
Mike Johnson,6,6
Mike Kelly,4,4
Mike Quigley,6,6
Mike Rogers,9,9
Mike Thompson,3,3
Mimi Walters,5,5
Mo Brooks,10,10
Nanette Diaz Barragen,6,6
Neal P. Dunn,9,9
Niki Tsongas,6,6
Nita M. Lowey,2,2
Norma J. Torres,5,5
Nydia M. Velezquez,7,7
Patrick T. McHenry,3,3
Paul A. Gosar,6,6
Paul Cook,9,9
Paul Mitchell,10,10
Paul Tonko,6,6
Pete Aguilar,3,3
Pete Olson,4,4
Pete Sessions,2,2
Peter A. DeFazio,1,1
Peter J. Roskam,3,3
Peter J. Visclosky,3,3
Peter T. King,9,9
Peter Welch,6,6
Pramila Jayapal,4,4
Rael M. Grijalva,9,9
Rael R. Labrador,6,6
Raja Krishnamoorthi,6,6
Ralph Lee Abraham,10,10
Ralph Norman,7,7
Randy Hultgren,7,7
"Randy K. Weber,  Sr.",7,7
Raul Ruiz,4,4
Richard E. Neal,1,1
Richard Hudson,4,4
Richard M. Nolan,7,7
Rick Larsen,6,6
Rick W. Allen,6,6
Ro Khanna,4,4
Rob Bishop,9,9
Rob Woodall,7,7
Robert A. Brady,3,3
Robert B. Aderholt,4,4
"Robert C. ""Bobby"" Scott",1,1
Robert E. Latta,5,5
Robert J. Wittman,6,6
Robert Pittenger,4,4
Robin L. Kelly,6,6
Rod Blum,5,5
Rodney Davis,9,9
Rodney P. Frelinghuysen,1,1
Roger W. Marshall,10,10
Roger Williams,4,4
Ron Estes,6,6
Ron Kind,3,3
Rosa L. DeLauro,3,3
Ruben Gallego,7,7
Ruben J. Kihuen,3,3
Ryan A. Costello,4,4
Salud O. Carbajal,4,4
Sam Graves,7,7
Sam Johnson,3,3
Sander M. Levin,3,3
"Sanford D. Bishop,  Jr.",4,4
Scott DesJarlais,9,9
Scott H. Peters,7,7
Scott Perry,10,10
Scott R. Tipton,7,7
Scott Taylor,4,4
Sean P. Duffy,3,3
Sean Patrick Maloney,8,8
Seth Moulton,4,4
Sheila Jackson Lee,7,7
Stacey E. Plaskett,10,10
Stephanie N. Murphy,6,6
Stephen F. Lynch,6,6
Stephen Knight,10,10
Stevan Pearce,6,6
Steve Chabot,7,7
Steve Cohen,8,8
Steve King,9,9
Steve Russell,6,6
Steve Scalise,2,2
Steve Stivers,3,3
Steve Womack,5,5
Steven M. Palazzo,4,4
Susan A. Davis,6,6
Susan W. Brooks,5,5
Suzan K. DelBene,4,4
Suzanne Bonamici,6,6
Ted Budd,4,4
Ted Lieu,5,5
Ted Poe,6,6
Ted S. Yoho,7,7
Terri A. Sewell,6,6
Theodore E. Deutch,7,7
"Thomas A. Garrett,  Jr.",9,9
Thomas J. Rooney,7,7
Thomas MacArthur,3,3
Thomas Massie,10,10
Thomas R. Suozzi,6,6
Tim Ryan,4,4
Tim Walberg,6,6
Timothy J. Walz,4,4
Todd Rokita,8,8
Tom Cole,6,6
Tom Emmer,4,4
Tom Graves,4,4
Tom Marino,6,6
Tom McClintock,4,4
Tom O'Halleran,7,7
Tom Reed,3,3
Tom Rice,4,4
Tony Cerdenas,4,4
Trent Kelly,10,10
Trey Gowdy,7,7
Trey Hollingsworth,4,4
Troy Balderson,6,6
Tulsi Gabbard,6,6
Val Butler Demings,6,6
Vern Buchanan,4,4
Vicente Gonzalez,4,4
Vicky Hartzler,7,7
Virginia Foxx,4,4
Walter B. Jones,3,3
Warren Davidson,4,4
Will Hurd,8,8
William R. Keating,6,6
Wm. Lacy Clay,8,8
Yvette D. Clarke,8,8
Zoe Lofgren,7,7
