,No. Committees,No. Conflicts
Marcia L. Fudge,6,11
Jim Costa,6,12
Gerald E. Connolly,6,33
Stephen F. Lynch,6,24
James Comer,6,18
Brad R. Wenstrup,6,7
Karen C. Handel,6,29
Mike Johnson,6,30
Mike Coffman,6,17
Robert J. Wittman,6,28
Michael R. Turner,6,7
Louie Gohmert,6,34
Brett Guthrie,6,36
Tim Walberg,6,40
Michael C. Burgess,6,17
Blaine Luetkemeyer,6,29
Ann Wagner,6,36
Stevan Pearce,6,40
Ileana Ros-Lehtinen,6,8
Ted Poe,6,32
"Daniel M. Donovan,  Jr.",6,21
"F. James Sensenbrenner,  Jr.",6,33
Andy Biggs,6,26
Steve Russell,6,28
Greg Gianforte,6,29
Jim Jordan,6,31
Doug Lamborn,6,25
Rael R. Labrador,6,31
Paul A. Gosar,6,35
Tom Cole,6,35
Tom Marino,6,38
Stephanie N. Murphy,6,29
Debbie Lesko,6,18
Ron Estes,6,12
Martha Roby,6,57
Rick W. Allen,6,11
Judy Chu,5,20
Steve Womack,5,28
Janice D. Schakowsky,5,21
James P. McGovern,5,3
Ed Perlmutter,5,19
Kenny Marchant,5,1
Robert E. Latta,5,25
Joe Barton,5,29
John Shimkus,5,21
Debbie Wasserman Schultz,5,17
Gene Green,5,28
Ken Buck,5,6
Susan W. Brooks,5,12
Karen Bass,5,32
Matt Cartwright,5,20
Barbara Lee,5,21
Doris O. Matsui,5,26
Rod Blum,5,22
Doug Collins,5,9
Filemon Vela,5,10
Gregg Harper,5,27
Leonard Lance,5,11
John P. Sarbanes,5,48
Mario Diaz-Balart,5,20
Norma J. Torres,5,18
Bruce Poliquin,5,17
Mimi Walters,5,9
Bill Johnson,5,17
Ted Lieu,5,36
Bob Goodlatte,4,10
Kevin Yoder,4,6
Tom Graves,4,12
Kevin Cramer,4,5
Markwayne Mullin,4,14
Debbie Dingell,4,14
Michael K. Simpson,4,10
Eliot L. Engel,4,26
C. A. Dutch Ruppersberger,4,5
Edward R. Royce,4,23
Timothy J. Walz,4,9
Hakeem S. Jeffries,4,12
"Joseph P. Kennedy,  III",4,14
G. K. Butterfield,4,14
Kay Granger,4,5
Ro Khanna,4,11
Robert B. Aderholt,4,11
John Abney Culberson,4,12
Jeff Duncan,4,14
Virginia Foxx,4,10
Tony Cerdenas,4,17
Earl Blumenauer,4,1
Kathy Castor,4,19
Salud O. Carbajal,4,10
Marsha Blackburn,4,12
John R. Carter,4,10
Fred Upton,4,14
Raul Ruiz,4,8
Jeff Fortenberry,4,2
Pramila Jayapal,4,11
Brian Higgins,4,4
Brendan F. Boyle,4,7
Diana DeGette,4,16
Billy Long,4,14
Ken Calvert,4,8
Elijah E. Cummings,4,13
Suzan K. DelBene,4,7
Harold Rogers,4,8
Tom McClintock,4,8
Seth Moulton,4,10
Devin Nunes,4,4
Mark E. Amodei,4,16
David P. Joyce,4,8
Jose E. Serrano,4,12
Betty McCollum,4,12
Pete Olson,4,5
David B. McKinley,4,14
H. Morgan Griffith,4,19
Ryan A. Costello,4,9
David E. Price,4,7
David Young,4,10
John R. Moolenaar,4,19
Andy Harris,4,6
"Sanford D. Bishop,  Jr.",4,5
Mark Walker,4,9
David G. Valadao,4,5
"Charles J. ""Chuck"" Fleischmann",4,8
Jason Smith,4,5
Jaime Herrera Beutler,4,13
Adrian Smith,4,10
Richard Hudson,4,13
Larry Bucshon,4,14
David P. Roe,4,14
Darin LaHood,4,1
Marcy Kaptur,4,8
Tim Ryan,4,9
Scott Taylor,4,6
"Earl L. ""Buddy"" Carter",4,16
Steven M. Palazzo,4,8
Michelle Lujan Grisham,4,6
Barry Loudermilk,4,10
Carlos Curbelo,3,1
Anna G. Eshoo,3,5
Kurt Schrader,3,7
Robert A. Brady,3,6
Michael F. Doyle,3,3
Ben Ray Lujen,3,3
David Loebsack,3,3
Bobby L. Rush,3,3
James B. Renacci,3,5
Mike Bishop,3,1
Henry Cuellar,3,2
Lynn Jenkins,3,1
Christopher H. Smith,3,6
Rosa L. DeLauro,3,2
Pete Aguilar,3,2
Katherine M. Clark,3,9
Grace Meng,3,4
Bill Shuster,3,7
Joseph Crowley,3,1
Jackie Walorski,3,1
Mark Pocan,3,2
Peter J. Visclosky,3,3
Lucille Roybal-Allard,3,4
Chellie Pingree,3,3
Walter B. Jones,3,1
Diane Black,3,4
Derek Kilmer,3,7
John Lewis,2,1
Cathy McMorris Rodgers,2,1
