,No. Committees,No. Conflicts
Daniel Webster,11,74
Lamar Smith,11,86
Brian J. Mast,10,79
Mo Brooks,10,78
Scott Perry,10,42
Doug LaMalfa,10,37
Mark Meadows,10,61
Ralph Lee Abraham,10,47
Stephen Knight,10,82
Trent Kelly,10,61
Frank A. LoBiondo,10,24
Lou Barletta,10,43
Eddie Bernice Johnson,10,27
Jeff Denham,10,38
Mike Bost,10,39
Paul Mitchell,10,59
Jim Banks,10,63
Mike Gallagher,10,49
Frank D. Lucas,10,61
"Eric A. ""Rick"" Crawford",10,19
Thomas Massie,10,58
Roger W. Marshall,10,59
Stacey E. Plaskett,10,43
Clay Higgins,9,53
Peter T. King,9,31
Steve King,9,62
Darrell E. Issa,9,99
Rob Bishop,9,48
Mark DeSaulnier,9,42
Jamie Raskin,9,76
Jenniffer Gonzelez-Colen,9,64
Mark Sanford,9,40
"Thomas A. Garrett,  Jr.",9,51
Aumua Amata Coleman Radewagen,9,71
Brian K. Fitzpatrick,9,72
Don Bacon,9,46
Scott DesJarlais,9,55
Neal P. Dunn,9,46
Jack Bergman,9,49
Paul Cook,9,87
Rael M. Grijalva,9,30
Glenn Thompson,9,45
Jody B. Hice,9,83
Michael T. McCaul,9,25
John R. Curtis,9,99
Joe Wilson,9,68
Bradley Byrne,9,27
Rodney Davis,9,36
Elise M. Stefanik,9,30
Mike Rogers,9,44
Bruce Westerman,8,33
Will Hurd,8,26
"A. Drew Ferguson,  IV",8,25
Liz Cheney,8,54
Daniel Lipinski,8,23
Barbara Comstock,8,39
Steve Cohen,8,24
Todd Rokita,8,30
Sean Patrick Maloney,8,15
Yvette D. Clarke,8,46
Jason Lewis,8,32
Michael E. Capuano,8,25
Lloyd Smucker,8,28
Elizabeth H. Esty,8,50
Jodey C. Arrington,8,25
Dina Titus,8,20
"Al Lawson,  Jr.",8,18
Wm. Lacy Clay,8,65
Colleen Hanabusa,8,58
John J. Faso,8,23
Jared Huffman,8,25
Mark Takano,8,51
David Rouzer,8,12
Bradley Scott Schneider,8,98
Cheri Bustos,8,14
Bob Gibbs,7,13
Chris Stewart,7,18
Thomas J. Rooney,7,9
Frederica S. Wilson,7,15
Adriano Espaillat,7,57
Bill Flores,7,45
John Garamendi,7,18
Bill Posey,7,31
Nydia M. Velezquez,7,82
Ralph Norman,7,30
Dan Newhouse,7,10
Matt Gaetz,7,45
Gus M. Bilirakis,7,49
"Donald M. Payne,  Jr.",7,11
Charlie Crist,7,24
Vicky Hartzler,7,16
Tom O'Halleran,7,15
Scott R. Tipton,7,37
Dennis A. Ross,7,33
Don Young,7,20
Keith J. Rothfus,7,45
"John J. Duncan,  Jr.",7,17
Randy Hultgren,7,37
Albio Sires,7,16
Jerry McNerney,7,38
Grace F. Napolitano,7,19
Sheila Jackson Lee,7,36
Adam Kinzinger,7,67
James R. Langevin,7,23
Zoe Lofgren,7,45
Glenn Grothman,7,33
Bill Foster,7,28
Luke Messer,7,20
K. Michael Conaway,7,12
Alan S. Lowenthal,7,23
Gary J. Palmer,7,41
Trey Gowdy,7,41
Garret Graves,7,22
Conor Lamb,7,17
Alma S. Adams,7,50
"Donald S. Beyer,  Jr.",7,33
Lee M. Zeldin,7,38
Theodore E. Deutch,7,43
John Ratcliffe,7,21
Martha McSally,7,21
John Katko,7,14
John H. Rutherford,7,41
Scott H. Peters,7,46
Dana Rohrabacher,7,29
Ted S. Yoho,7,19
Bennie G. Thompson,7,1
Eleanor Holmes Norton,7,17
Austin Scott,7,14
Darren Soto,7,13
Sam Graves,7,20
Dave Brat,7,44
Anthony G. Brown,7,32
Brad Sherman,7,41
Steve Chabot,7,91
Brian Babin,7,16
Gregory W. Meeks,7,38
"Randy K. Weber,  Sr.",7,20
Richard M. Nolan,7,13
Greg Walden,7,61
Julia Brownley,7,21
Rob Woodall,7,8
"Henry C. ""Hank"" Johnson,  Jr.",7,23
Ruben Gallego,7,25
Frank Pallone Jr.,6,59
Ami Bera,6,35
Paul Tonko,6,35
Beto O'Rourke,6,19
J. Luis Correa,6,13
Francis Rooney,6,18
Kathleen M. Rice,6,12
Michael Cloud,6,31
Troy Balderson,6,29
Dwight Evans,6,19
Bonnie Watson Coleman,6,23
Jared Polis,6,2
Rick Larsen,6,17
Tulsi Gabbard,6,31
Jacky Rosen,6,23
Carol Shea-Porter,6,24
Nanette Diaz Barragen,6,21
Carolyn B. Maloney,6,25
Raja Krishnamoorthi,6,18
Gregorio Kilili Camacho Sablan,6,18
Jimmy Gomez,6,34
Peter Welch,6,47
Val Butler Demings,6,23
Suzanne Bonamici,6,24
Susan A. Davis,6,21
Niki Tsongas,6,25
Jimmy Panetta,6,15
Joe Courtney,6,25
Denny Heck,6,9
Jim Cooper,6,28
Lois Frankel,6,17
Madeleine Z. Bordallo,6,24
Brenda L. Lawrence,6,20
Thomas R. Suozzi,6,31
Lisa Blunt Rochester,6,11
David Scott,6,13
Marc A. Veasey,6,21
Ann M. Kuster,6,9
Eric Swalwell,6,14
James A. Himes,6,7
Andre Carson,6,5
Terri A. Sewell,6,5
Donald Norcross,6,20
Mike Quigley,6,12
Jackie Speier,6,6
Joaquin Castro,6,13
William R. Keating,6,18
Cedric L. Richmond,6,23
David N. Cicilline,6,44
A. Donald McEachin,6,23
Robin L. Kelly,6,29
