,year,month,conflicts,hearings
0,2017,1,60,29
0,2017,2,683,106
0,2017,3,1029,189
0,2017,4,399,81
0,2017,5,595,141
0,2017,6,465,154
0,2017,7,501,133
0,2017,8,0,1
0,2017,9,182,80
0,2017,10,392,105
0,2017,11,403,123
0,2017,12,117,60
0,2018,1,240,66
0,2018,2,525,90
0,2018,3,672,133
0,2018,4,825,175
0,2018,5,533,124
0,2018,6,450,130
0,2018,7,383,110
0,2018,8,0,3
0,2018,9,509,108
0,2018,10,0,0
0,2018,11,11,16
0,2018,12,47,31
