,year,month,conflicts,hearings
0,2019,1,77,23
0,2019,2,754,126
0,2019,3,1171,196
0,2019,4,869,156
0,2019,5,1022,181
0,2019,6,980,168
0,2019,7,563,129
0,2019,8,0,6
0,2019,9,684,150
0,2019,10,518,125
0,2019,11,346,90
0,2019,12,191,69
0,2020,1,434,74
0,2020,2,652,147
0,2020,3,884,139
0,2020,4,0,3
0,2020,5,2,14
0,2020,6,30,71
0,2020,7,131,111
0,2020,8,1,10
0,2020,9,179,95
0,2020,10,18,19
0,2020,11,21,8
0,2020,12,11,22
