,year,month,conflicts,hearings
0,2019,1,77,22
0,2019,2,754,126
0,2019,3,1164,194
0,2019,4,859,154
0,2019,5,1022,181
0,2019,6,940,166
0,2019,7,563,129
0,2019,8,0,6
0,2019,9,678,149
0,2019,10,518,125
0,2019,11,341,89
0,2019,12,191,69
0,2020,1,434,73
0,2020,2,652,146
0,2020,3,845,137
0,2020,4,0,2
0,2020,5,2,14
0,2020,6,30,71
0,2020,7,131,110
0,2020,8,1,10
0,2020,9,178,94
0,2020,10,17,18
0,2020,11,21,8
0,2020,12,9,21
