0
Committee on Veterans Affairs
Subcommittee on Health (Committee on Energy and Commerce)
"Subcommittee on Innovation, Data, and Commerce (Committee on Energy and Commerce)"
Subcommittee on Oversight and Investigations (Committee on Energy and Commerce)
Subcommittee on Communications and Technology (Committee on Energy and Commerce)
Subcommittee on Capital Markets (Committee on Financial Services)
Subcommittee on Financial Institutions and Monetary Policy (Committee on Financial Services)
Subcommittee on Water Resources and Environment (Committee on Transportation and Infrastructure)
Subcommittee on Intelligence and Special Operations (Committee on Armed Services)
"Subcommittee on Cyber, Information Technologies, and Innovation (Committee on Armed Services)"
Subcommittee on Oversight and Investigations (Committee on Natural Resources)
Subcommittee on Energy and Mineral Resources (Committee on Natural Resources)
"Subcommittee on Energy, Climate, and Grid Security (Committee on Energy and Commerce)"
Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party
"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies (Committee on Appropriations)"
"Subcommittee on Environment, Manufacturing, and Critical Minerals (Committee on Energy and Commerce)"
Subcommittee on Defense (Committee on Appropriations)
Subcommittee on Military Personnel (Committee on Armed Services)
Subcommittee on Readiness (Committee on Armed Services)
Subcommittee on Crime and Federal Government Surveillance (Committee on the Judiciary)
"Subcommittee on State, Foreign Operations, and Related Programs (Committee on Appropriations)"
Subcommittee on Indian and Insular Affairs (Committee on Natural Resources)
Subcommittee on Technology Modernization (Committee on Veterans Affairs)
"Subcommittee on Interior, Environment, and Related Agencies (Committee on Appropriations)"
Subcommittee on Legislative Branch (Committee on Appropriations)
"Subcommittee on Courts, Intellectual Property, and the Internet (Committee on the Judiciary)"
"Subcommittee on National Security, the Border, and Foreign Affairs (Committee on Oversight and Accountability)"
"Subcommittee on Labor, Health and Human Services, Education, and Related Agencies (Committee on Appropriations)"
Subcommittee on Forestry (Committee on Agriculture)
"Subcommittee on Railroads, Pipelines, and Hazardous Materials (Committee on Transportation and Infrastructure)"
Subcommittee on Federal Lands (Committee on Natural Resources)
"Subcommittee on Economic Growth, Energy Policy, and Regulatory Affairs (Committee on Oversight and Accountability)"
"Subcommittee on Cybersecurity, Information Technology, and Government Innovation (Committee on Oversight and Accountability)"
"Subcommittee on Water, Wildlife and Fisheries (Committee on Natural Resources)"
Subcommittee on Oversight and Investigations (Committee on Financial Services)
Subcommittee on Strategic Forces (Committee on Armed Services)
"Subcommittee on Counterterrorism, Law Enforcement, and Intelligence (Committee on Homeland Security)"
Subcommittee on Aviation (Committee on Transportation and Infrastructure)
"Subcommittee on Space and Aeronautics (Committee on Science, Space, and Technology)"
"Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies (Committee on Appropriations)"
Subcommittee on Economic Opportunity (Committee on Veterans Affairs)
Subcommittee on Health Care and Financial Services (Committee on Oversight and Accountability)
Subcommittee on Government Operations and the Federal Workforce (Committee on Oversight and Accountability)
Subcommittee on Responsiveness and Accountability to Oversight (Committee on the Judiciary)
"Subcommittee on Digital Assets, Financial Technology and Inclusion (Committee on Financial Services)"
"Subcommittee on the Middle East, North Africa, and Central Asia (Committee on Foreign Affairs)"
Subcommittee on Oversight and Investigations (Committee on Veterans Affairs)
Subcommittee on Modernization (Committee on House Administration)
"Subcommittee on the Administrative State, Regulatory Reform, and Antitrust (Committee on the Judiciary)"
Subcommittee on Elections (Committee on House Administration)
Subcommittee on Housing and Insurance (Committee on Financial Services)
"Subcommittee on Global Health, Global Human Rights, and International Organizations (Committee on Foreign Affairs)"
Subcommittee on Health (Committee on Ways and Means)
"Subcommittee on Commerce, Justice, Science, and Related Agencies (Committee on Appropriations)"
Subcommittee on the National Intelligence Enterprise (Permanent Select Committee on Intelligence)
"Subcommittee on National Security, Illicit Finance, and International Financial Institutions (Committee on Financial Services)"
"Subcommittee on Conservation, Research, and Biotechnology (Committee on Agriculture)"
Subcommittee on Cybersecurity and Infrastructure Protection (Committee on Homeland Security)
Subcommittee on Higher Education and Workforce Development (Committee on Education and the Workforce)
Subcommittee on Energy and Water Development and Related Agencies (Committee on Appropriations)
Subcommittee on Transportation and Maritime Security (Committee on Homeland Security)
Subcommittee on the Constitution and Limited Government (Committee on the Judiciary)
"Subcommittee on Energy (Committee on Science, Space, and Technology)"
Subcommittee on Coast Guard and Maritime Transportation (Committee on Transportation and Infrastructure)
Subcommittee on the Indo-Pacific (Committee on Foreign Affairs)
Subcommittee on Oversight (Committee on House Administration)
Subcommittee on Financial Services and General Government (Committee on Appropriations)
Subcommittee on Defense Intelligence and Overhead Architecture (Permanent Select Committee on Intelligence)
Subcommittee on the National Security Agency and Cyber (Permanent Select Committee on Intelligence)
"Subcommittee on Oversight, Investigations, and Accountability (Committee on Homeland Security)"
Subcommittee Homeland Security (Committee on Appropriations)
"Subcommittee on Environment, Manufacturing, and Critical Materials (Committee on Energy and Commerce)"
"Subcommittee on Transportation, and Housing and Urban Development, and Related Agencies (Committee on Appropriations)"
"Subcommittee on Economic Growth, Tax, and Capital Access (Committee on Small Business)"
Subcommittee on Highways and Transit (Committee on Transportation and Infrastructure)
"Subcommittee on Environment (Committee on Science, Space, and Technology)"
"Subcommittee on Rural Development, Energy, and Supply Chains (Committee on Small Business)"
Subcommittee on Disability Assistance and Memorial Affairs (Committee on Veterans Affairs)
Subcommittee on Health (Committee on Veterans Affairs)
Subcommittee on Work and Welfare (Committee on Ways and Means)
Subcommittee on Oversight and Accountability (Committee on Foreign Affairs)
Subcommittee on Tactical Air and Land Forces (Committee on Armed Services)
"Subcommittee on Livestock, Dairy, and Poultry (Committee on Agriculture)"
"Subcommittee on Early Childhood, Elementary, and Secondary Education (Committee on Education and the Workforce)"
Subcommittee on Trade (Committee on Ways and Means)
Subcommittee on Africa (Committee on Foreign Affairs)
Subcommittee on Seapower and Projection Forces (Committee on Armed Services)
"Subcommittee on Oversight, Investigations, and Regulations (Committee on Small Business)"
Subcommittee on Workforce Protections (Committee on Education and the Workforce)
Subcommittee on the Central Intelligence Agency (Permanent Select Committee on Intelligence)
"Subcommittee on General Farm Commodities, Risk Management, and Credit (Committee on Agriculture)"
Subcommittee on Social Security (Committee on Ways and Means)
"Subcommittee on Innovation, Entrepreneurship, and Workforce Development (Committee on Small Business)"
"Subcommittee on Health, Employment, Labor, and Pensions (Committee on Education and the Workforce)"
Subcommittee on Oversight (Committee on Ways and Means)
"Subcommittee on Immigration Integrity, Security, and Enforcement (Committee on the Judiciary)"
"Subcommittee on Commodity Markets, Digital Assets, and Rural Development (Committee on Agriculture)"
"Subcommittee on Nutrition, Foreign Agriculture, and Horticulture (Committee on Agriculture)"
"Subcommittee on Research and Technology (Committee on Science, Space, and Technology)"
Subcommittee on Contracting and Infrastructure (Committee on Small Business)
Select Committee on the Strategic Competition Between the United States and the Chinese Communist Pa
"Subcommittee on Economic Development, Public Buildings, and Emergency Management (Committee on Transportation and Infrastructure)"
Subcommittee on Europe (Committee on Foreign Affairs)
Subcommittee on Border Security and Enforcement (Committee on Homeland Security)
Subcommittee on the Western Hemisphere (Committee on Foreign Affairs)
Subcommittee on Emergency Management and Technology (Committee on Homeland Security)
Subcommittee on Tax (Committee on Ways and Means)
"Subcommittee on Investigations and Oversight (Committee on Science, Space, and Technology)"
