,year,month,conflicts,hearings
0,2023,1,6,8
0,2023,2,760,83
0,2023,3,1381,207
0,2023,4,735,123
0,2023,5,635,135
0,2023,6,806,137
0,2023,7,508,129
0,2023,8,2,5
0,2023,9,604,117
0,2023,10,133,46
0,2023,11,369,95
0,2023,12,263,70
0,2024,1,362,80
0,2024,2,404,71
0,2024,3,698,118
0,2024,4,650,135
0,2024,5,677,141
0,2024,6,522,104
0,2024,7,379,74
0,2024,8,0,1
0,2024,9,0,0
0,2024,10,0,0
0,2024,11,0,0
0,2024,12,0,0
