ShortCode,Date
AG,30
AP,179
AS,92
BA,116
BU,20
ED,75
FA,116
GO,147
HA,49
HM,87
IF,173
IG,48
II,162
JU,114
PW,84
RU,64
SM,56
SY,59
VR,99
WM,88
ZS,21
