,year,month,conflicts,hearings
0,2021,1,0,3
0,2021,2,197,91
0,2021,3,364,154
0,2021,4,419,116
0,2021,5,511,173
0,2021,6,591,150
0,2021,7,477,133
0,2021,8,0,5
0,2021,9,170,73
0,2021,10,240,93
0,2021,11,305,64
0,2021,12,117,47
0,2022,1,104,37
0,2022,2,192,73
0,2022,3,571,125
0,2022,4,716,120
0,2022,5,515,133
0,2022,6,449,126
0,2022,7,487,97
0,2022,8,0,4
0,2022,9,425,86
0,2022,10,0,2
0,2022,11,85,23
0,2022,12,67,46
