Date,Committee,Hearing Title,Time,Link,Hour,Code
"Tuesday, February 9, 2021",Committee on the Budget,Consideration of Rules of the Committee on the Budget for the 117th Congress,11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111163,11,BU00
"Tuesday, February 9, 2021",Subcommittee on Coast Guard and Maritime Transportation (Committee on Transportation and Infrastructure),?State of the U.S. Maritime Industry: Impacts of the COVID-19 Pandemic.?,11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111177,11,PW07
"Tuesday, February 9, 2021",Subcommittee on Environment and Climate Change (Committee on Energy and Commerce),Back in Action: Restoring Federal Climate Leadership (Virtual Hearing),12:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111146,12,IF18
"Wednesday, February 10, 2021",Committee on Ways and Means,"Legislative proposals to comply with the reconciliation directive included in Section 2001 of the Concurrent Resolution on the Budget for Fiscal Year 2021, S. Con. Res. 5.",10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111185,10,WM00
"Wednesday, February 10, 2021",Committee on Transportation and Infrastructure,"Legislative proposals to comply with the reconciliation directive included in section 2001 of the Concurrent Resolution on the Budget for Fiscal Year 2021, S. Con. Res. 5",11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111178,11,PW00
"Wednesday, February 10, 2021",Committee on Financial Services,"Mark up for reconciliation pursuant to S. Con. Res. 5, theConcurrent Resolution on the Budget for Fiscal Year 2021",12:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111179,12,BA00
"Wednesday, February 10, 2021",Committee on House Administration,Organizational Meeting for the 117th Congress,1:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111184,13,HA00
"Wednesday, February 10, 2021",Committee on Homeland Security,Homeland Cybersecurity: Assessing Cyber Threats and Building Resilience,2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111152,14,HM00
"Wednesday, February 10, 2021",Committee on Agriculture,organizational matters of the Committee on Agriculture for the 117th Congress and to consider a proposal to satisfy the Committee?s reconciliation instructions as required by S. Con. Res. 5,2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111183,14,AG00
"Wednesday, February 10, 2021",Committee on Small Business,Markup,5:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111181,17,SM00
