year,conflicts,hearings
2013,5388,1291
2014,4752,1103
2015,6921,1381
2016,4954,1095
2017,4826,1202
2018,4195,986
2019,7107,1410
2020,2320,704
2021,3355,1102
2022,3571,872
2023,6202,1155
2024,3117,606
